tweets_record.userid,tweets_record.lang,tweets_record.friendscount,tweets_record.location,tweets_record.followerscount,tweets_record.deviceused,tweets_record.retweetcount,tweets_record.issensitive,tweets_record.isretweet,tweets_record.isretweeted,tweets_record.postdate,tweets_record.text
1137637145454272512,en,359,"Bergamo, Lombardia",367,Twitter for Android,0,False,True,False,Sun Jun 14 15:14:59 CDT 2020,RT @THEWANNAITE: Our quarantine so far..  🥺💜 https://t.co/KqfxnrA7nw
1062110432780042240,und,353,Lanús,296,Twitter Web App,0,False,False,False,Sun Jun 14 15:14:59 CDT 2020,https://t.co/t2YNn9lcfv
741651690,es,3823,win ♡,13541,Twitter for iPhone,0,False,False,False,Sun Jun 14 15:14:59 CDT 2020,"mi papá le habló de 2gether a mi mamá y porque pensó que la iba a ver y dijo “esa que dice sígueme mirando así y te voy a besar” 

aYUDA JSJSSJ https://t.co/nNe6gf5lPh"
1242736914337275905,en,17,Worldwide football leagues.,451,Twitter Web App,0,False,False,False,Sun Jun 14 15:14:59 CDT 2020,"Same day job offer, we go to @champmegasave's nemesis, Poland and another big side, Legia!! https://t.co/z9WC4C8jyA"
3386051062,pt,1852,trio's mom;,3902,Twitter for Android,0,False,False,False,Sun Jun 14 15:14:59 CDT 2020,para de sair de casa tá dando gatilho tem gente que chora olhando pra sua cara tem gente passando mal porque queria sentar em você pelo amor de deus não bota a cabeça pra fora da janela https://t.co/dPCICKdBVh
1133415724959948806,my,2697,null,184,Twitter for Android,0,False,True,False,Sun Jun 14 15:15:00 CDT 2020,"RT @Dk21838296: မြန်မာမလေး ၂
ထပ်နှိုက်ပြနေတာ https://t.co/P295hvFpoR"
792459589,und,282,null,248,Twitter for iPhone,0,False,True,False,Sun Jun 14 15:15:00 CDT 2020,RT @Justbestials: https://t.co/HrOCNRCZHd
3861367827,ar,282,"El Sharkia, Egypt",350,Twitter for Android,0,False,False,False,Sun Jun 14 15:15:00 CDT 2020,مهما ترسم ع الحيطان ألف باب لسه الحيطان حيطان والرسمه باب كداب 🖤
929161039874347008,ar,246,"Dubai, United Arab Emirates",1350,Twitter for iPhone,0,False,False,False,Sun Jun 14 15:15:00 CDT 2020,@KHALIFAll7 لاتعور قلبي 💔
868996361714376704,ar,87,null,29,Twitter for iPhone,0,False,True,False,Sun Jun 14 15:15:00 CDT 2020,RT @eng19945: اجور و عقود مهندسي وزارة الكهرباء سيادة الرئيس انصفونا فقد تعبنا من الظلم عددنا لايتجاوز 3 بالمية وهو عدد لايذكر بالنسبة للبق…
1198541312800251904,tr,637,null,848,Twitter for iPhone,0,False,False,False,Sun Jun 14 15:15:00 CDT 2020,@GalatasaraySK O HAKEMDEN BOZMA OROSPU COCUKLARI YUZUNDEN MUSLERA GİTTİ
1265194234765811712,ar,210,null,155,Twitter for Android,0,False,True,False,Sun Jun 14 15:15:00 CDT 2020,"RT @MarwaRaheem5: سنكسب رِهان الحياة يومًا..👌 
ماكان جهادنا على أحلامنا عبثا..😌💪💙
#ثوره_الخوذه_البيضاء_راجعين"
1279943738,in,199,nondat-bi. ,190,Twitter for Android,0,False,False,False,Sun Jun 14 15:15:00 CDT 2020,@Baceotan Nambah tu 1 huruf brou itupun hrus kebaca
1250018799669166080,ar,1,null,2544,Twitter for iPhone,0,False,False,False,Sun Jun 14 15:15:00 CDT 2020,@Mashael__Alamri هههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه
806663825521000448,fr,724,Ici,228,Twitter for Android,0,False,True,False,Sun Jun 14 15:15:00 CDT 2020,RT @kouamouo: Le débat sur le racisme selon SudRadio... un facho du RN et un confusionniste complet qui va faire paniquer ds les chaumières…
912089440553750528,ar,780,"Suez, Egypt",1263,Twitter for Android,0,False,True,False,Sun Jun 14 15:15:00 CDT 2020,"RT @HudaElaskary: دا مش اختلاق مع مجتمع دا اختلاف مع الدين  
سارة حجازي مش بطلة"
1065477393513623558,en,46,en tu casa,41,Twitter for iPhone,0,False,True,False,Sun Jun 14 15:15:00 CDT 2020,RT @iamoliviag0ld: You ever look at your friends like damn bitch you BAD
31390003,de,312,am Nabel von S-H,380,Twitter for Android,0,False,False,False,Sun Jun 14 15:15:00 CDT 2020,"@novemberregen Lange geschlafen, gelesen, gebacken (Kekse und Burger Buns), Katzenklos ausgewaschen, Burger gegessen."
1214210703914979330,de,134,n‘shesh,168,Twitter for iPhone,0,False,False,False,Sun Jun 14 15:15:00 CDT 2020,@miruensa Komme mit
997682362556321793,en,1001,LitA 🖤,547,Twitter for iPhone,0,False,False,False,Sun Jun 14 15:15:00 CDT 2020,@Lljw9 JK JUICE WRLD YOURE SO AWESOME
1234176965826969600,fr,27,null,10,Twitter for iPhone,0,False,True,False,Sun Jun 14 15:15:00 CDT 2020,"RT @Alilou901: ""A partir 22 juin, réouverture des écoles et collèges""
Les lycées actuellement #macron20h https://t.co/3XofHYK26O"
7384202,pl,2034,"Warsaw, Poland",841,Twitter Web App,0,False,False,False,Sun Jun 14 15:15:00 CDT 2020,"@StaszekKrawczyk @trzazajek Z drugiej strony, osoby postronne też to widzą i jest wartość w tym że ktoś odpowiada na ich nienawiść."
1387619910,fr,204,"Troyes, France",266,Twitter for Android,0,False,True,False,Sun Jun 14 15:15:00 CDT 2020,"RT @norabz: ""la république n'effacera aucun nom"" : gros doigt d'honneur aux assos qui se battent pour débaptiser les rues portant le nom d'…"
1070603319436029952,es,557,En una realidad paralela ,1772,Twitter for Android,0,False,False,False,Sun Jun 14 15:15:00 CDT 2020,@odisyella Se hacen querer los muy jodíos 😉 pronto más 👏👏
